('APPUNTI_INGEGNERIA_MATEMATICA', '1BDWigFmLxCkgBER-QFCC8vaXr03npmc_')
('TRIENNALE', '1IWtM13AO72bdVEds7oDANd3NO5deTm8s')
('3_ANNO', '1SQiageiDRsonJ-HPHJkpAobpu8l11J1P')
('22_Inferenza_Statistica', '1KmCpIs9nTEHpRgUpG8qyiwZ9BwevFsmw')     
('21_EDP', '1aW6SYL8iY6JQrlTjMz5p4I0Mzah8kOjX')
('20_Finanza_I', '1YnsZakXJaWjbQ_mEHbclwrhAZ6vbEfXG')
('19_Scienza_delle_Costruzioni', '1SHIJMm-owhD6IAe64QLddTUSSfYpA3qE')
('18_Termodinamica', '1IMMm7k2xQF1fMerU5nyqXkhEIe86PAeD')
('17_Elettronica', '1Br6fRcvylmhb4-JvI2v5xVDv9xdltsqM')
('16_Ricerca_Operativa', '1ixHutBXg79DTBoL0KgKmy-e0YkwEjUCu')        
('15_Meccanica_Razionale', '178Qimcb-MihkmFa3jHS6UqOFGJFxpgD_')      
('14_Analisi_III', '1rEBU3s-oRR4nFeg_EIpYNVQrUwl_XBZU')
('2_ANNO', '1BKWifMhO5fxU2Dk57sRLN2GKv2aoaZ9r')
('13_Matematica_Numerica', '13Ydgs8F0N3M5ITB2bwDPWkd3axAGbW_6')
('appunti_mescolini.pdf', '1g6FpkgkmyhNfctoDq993mBUjagoDkaa1')
('12_Probabilità', '1K3fjC8TulagdBJLH3BLMfAl46KzAKJfb')
('11_Automatica', '1NAIG5kv3FXFRKc1IO8R04C09lRw3OMiq')
('appunti_mescolini.pdf', '1qPXQPLGAhsB5Hd1L55EdyUhesC3RmWDa')
('10_Elettrotecnica', '1VRmIX_B7aXO66ClMXynmFb-LFuQ2WVkF')
('esercitazioni_calcaterra.pdf', '1WqOqcnP4QWUSjaMaGlGgzcTsAPyYrnE8')
('9_Fisica_II', '1RQ1JKTojMBj4NjPIbyqDsn8MLYlTYITV')
('8_Analisi_II', '1xgmiP7oXsqCL7y1IrQ8JN7UeEf2EjQRa')
('1_ANNO', '1yRRegk820aqWnVTHYtjrhpG5oh1hIphM')
('7_Geometria_Algebra_Lineare', '1nztJrRH8BOZoo3W-qZg0YwPHyxVJNKOk')
('6_Statistica', '1W6Yp8KTsonISENgk4zoghFogOtYQ3AoE')
('5_Economia_Aziendale', '11ecACdbf7-oP2t8fVdxYRUxbmmWjeoxw')
('appunti_ferrara', '1Lm79RxF5djkmTAUfMAWYl3kwh2tIDiSc')
('finanza.pdf', '1NAoQJvSgb-YS3qFzMBIoz4i5Bwy-RZ_Y')
('4. Decision making.pdf', '11TrZ2kq-6YiCJD1ZgoySM1PG6E2x3AwN')
('1 e 2. impresa e bilancio.pdf', '12xFlHP69YylE_C29Hc-hPWQGdbvgQFQi')
('3. Contab interna.pdf', '1_DefUwJ6165Hkfm5gJniF90XCPlrVYhk')
('4_Fisica_I', '1hEawaPSRpbvCx5S3mHYl0wZ275Yzu_mu')
('3_Informatica_A', '1vmYYJYRxEf0-SWRxGuq3KbWJiU1eb1BS')
('2_Chimica', '1vEap1KLHh8nOOhYp0aImlLnubohgLMik')
('1_Analisi_I', '1yFXmS-XsrH0IFYO-ZXGcbJhdPL7AKTg5')
('Informazioni', '1jVXaOWonj4m2Ugj3tP3PGy7HmA8e00pxT64134w5jZA')
('TO_WATERMARK', '1xFyYjyAvFQOp_fABLPiFxl4nQSOwErB2')
('aim_watermark.pdf', '1EYTaeddMX0rUmV0JwE3VyTTway969OmM')
